hdi_rank,country,human_development_index_hdi,life_expectancy_at_birth,expected_years_of_schooling,mean_years_of_schooling,gross_national_income_gni_per_capita
160,Tanzania (United Republic of),0.549,66.2007,9.221489906,6.37289871,2664.329096
161,Pakistan,0.544,66.0979,8.658349991,4.536330223,4623.70543
162,Togo,0.539,61.6194,12.95049378,5.016807367,2166.619062
163,Haiti,0.535,63.1924,9.7,5.554,2847.500746
163,Nigeria,0.535,52.676,10.12758388,7.181074153,4790.284425
165,Rwanda,0.534,66.0722,11.23097038,4.425292358,2209.795202
166,Benin,0.525,59.821,10.76667976,4.304786445,3408.965923
166,Uganda,0.525,62.7048,10.14986994,5.730941566,2181.43651
168,Lesotho,0.514,53.062,12.04087801,6.010184707,2700.435748
169,Malawi,0.512,62.9044,12.67898523,4.489695385,1465.635064
170,Senegal,0.511,67.0926,8.963749886,2.937938258,3344.311825
171,Djibouti,0.509,62.3049,7.43298,4.1,5024.993944
172,Sudan,0.508,65.2667,7.945187858,3.82,3575.19084
173,Madagascar,0.501,64.4853,10.13499142,5.120468534,1483.520983
174,Gambia,0.5,62.083,9.418626299,4.637487411,2172.207664
175,Ethiopia,0.498,64.9748,9.651071421,3.201520681,2361.069604
176,Eritrea,0.492,66.5358,8.064524628,4.8872352,1728.742667
177,Guinea-Bissau,0.483,59.6523,10.61306278,3.583719,1908.24159
178,Liberia,0.481,60.7472,10.42078972,5.082,1288.74235
179,Congo (Democratic Republic of the),0.479,59.193,9.817864451,7.018696516,1076.098781
180,Afghanistan,0.478,61.9824,10.26384398,2.98506999,1824.190915
181,Sierra Leone,0.477,60.0624,9.57339109,4.576081285,1621.512579
182,Guinea,0.465,58.8922,9.805297465,2.202125952,2480.887182
183,Yemen,0.455,63.7534,9.09871006,3.2,1314.270189
184,Burkina Faso,0.449,59.2696,9.142100334,2.114962259,2117.915916
185,Mozambique,0.446,59.3247,10.2191516,3.197641838,1198.073924
186,Mali,0.428,58.9414,7.423037617,2.31,2132.629443
187,Burundi,0.426,61.6627,10.72272189,3.129266883,731.7867086
